J001_京都オフィス（StartupSide Kyoto）	第四インキュ	145:35:00	0:00:00	0:00:00	0:00:00	145:35:00	0:00:00
J002_大阪オフィス（StartupSide Osaka）	第四インキュ	151:09:00	0:00:00	0:00:00	0:00:00	151:09:00	0:00:00
J003_StartupSide Tokyo（東京自主インキュ）	第一インキュ	173:50:00	173:50:00	0:00:00	0:00:00	0:00:00	0:00:00
J004_支援人材教育	本部	10:30:00	0:00:00	0:00:00	0:00:00	0:00:00	0:00:00
J007_グローバル事業	事業開発	41:37:00	0:00:00	0:00:00	0:00:00	0:00:00	41:37:00
J008_商品開発事業	第四インキュ	67:30:00	0:00:00	0:00:00	0:00:00	67:30:00	0:00:00
J009_お通り男史プロジェクト	第四インキュ	5:07:00	0:00:00	0:00:00	0:00:00	5:07:00	0:00:00
J010_SEEDex	事業開発	253:28:00	0:00:00	0:00:00	0:00:00	0:00:00	253:28:00
J017_おやじキャンプ飯ビジネスプロデュース事業	第四インキュ	4:56:00	0:00:00	0:00:00	0:00:00	4:56:00	0:00:00
J023_イノベリア	事業開発	11:47:00	0:00:00	0:00:00	0:00:00	0:00:00	11:47:00
J028_ビジネスセンター名古屋錦（StartupSide Nagoya）	第二インキュ	159:27:00	0:00:00	159:27:00	0:00:00	0:00:00	0:00:00
J029_StartupSide Moriya（守谷自主インキュ）	第一インキュ	123:27:00	123:27:00	0:00:00	0:00:00	0:00:00	0:00:00
J030_投資_ストーリア	投資先	1:00:00	0:00:00	0:00:00	0:00:00	0:00:00	0:00:00
J037_クリプトアニメラボLLP	第四インキュ	10:51:00	0:00:00	0:00:00	0:00:00	10:51:00	0:00:00
J039_ミライクルラボ	子会社	43:08:00	0:00:00	0:00:00	0:00:00	0:00:00	0:00:00
J040_EV System	子会社	4:00:00	0:00:00	0:00:00	0:00:00	0:00:00	0:00:00
J041_ヨムリエ	本部	83:54:00	0:00:00	0:00:00	0:00:00	0:00:00	0:00:00
J042_起業支援ラボ	本部	7:39:00	0:00:00	0:00:00	0:00:00	0:00:00	0:00:00
J043_Evocare	子会社	19:45:00	0:00:00	0:00:00	0:00:00	0:00:00	0:00:00
J044_人材事業	事業開発	211:35:00	0:00:00	0:00:00	0:00:00	0:00:00	211:35:00
J045_ツクリエビジネスプランコンテスト	事業開発	8:10:00	0:00:00	0:00:00	0:00:00	0:00:00	8:10:00
J050_起業相談AI開発	事業開発	1:20:00	0:00:00	0:00:00	0:00:00	0:00:00	1:20:00
J051_StartupSide Magazine	本部	9:30:00	0:00:00	0:00:00	0:00:00	0:00:00	0:00:00
J052_起業支援者教育事業	本部	34:30:00	0:00:00	0:00:00	0:00:00	0:00:00	0:00:00
J053_アニハッチ	子会社	10:57:00	0:00:00	0:00:00	0:00:00	0:00:00	0:00:00
J054_StartupSide Tokyo 7F移転プロジェクト	本部	97:19:00	0:00:00	0:00:00	0:00:00	0:00:00	0:00:00
J055_プロデュース委員会	本部	25:07:00	0:00:00	0:00:00	0:00:00	0:00:00	0:00:00
J056_情報システム委員会	本部	11:00:00	0:00:00	0:00:00	0:00:00	0:00:00	0:00:00
J057_周年イベント委員会	本部	36:37:00	0:00:00	0:00:00	0:00:00	0:00:00	0:00:00
J059_StartupSide委員会	本部	23:00:00	0:00:00	0:00:00	0:00:00	0:00:00	0:00:00
J060_社長室	本部	95:03:00	0:00:00	0:00:00	0:00:00	0:00:00	0:00:00
J061_イベント戦略室	第四インキュ	17:45:00	0:00:00	0:00:00	0:00:00	17:45:00	0:00:00
P24001_【※4月～使用禁止※】_Startup Hub Tokyo 丸の内	第一インキュ	10:00:00	10:00:00	0:00:00	0:00:00	0:00:00	0:00:00
P24003_【※4月～使用禁止※】_メグリバ(コワーキング)	第二インキュ	13:04:00	0:00:00	13:04:00	0:00:00	0:00:00	0:00:00
P24005_【※4月～使用禁止※】_イデタチ東京・ツムギバ	第一インキュ	29:44:00	29:44:00	0:00:00	0:00:00	0:00:00	0:00:00
P24008_【※4月～使用禁止※】_嘉手納町マルチメディアセンター	第一インキュ	3:00:00	3:00:00	0:00:00	0:00:00	0:00:00	0:00:00
P24010_【※4月～使用禁止※】_東京都ベンチャー技術大賞	第二インキュ	13:08:00	0:00:00	13:08:00	0:00:00	0:00:00	0:00:00
P24011_【※4月～使用禁止※】_ものムーブ2024	第二インキュ	1:23:00	0:00:00	1:23:00	0:00:00	0:00:00	0:00:00
P24012_【※4月～使用禁止※】_K-NIC運営業務	本部	4:49:00	0:00:00	0:00:00	0:00:00	0:00:00	0:00:00
P24013_【※4月末まで使用可※】（終了PJ）_FASTAR一部支援業務	本部	0:00:00	0:00:00	0:00:00	0:00:00	0:00:00	0:00:00
P24014_【※4月末まで使用可※】（終了PJ）_Japan Connect Initiative	事業開発	23:18:00	0:00:00	0:00:00	0:00:00	0:00:00	23:18:00
P24016_【※4月末まで使用可※】（終了PJ）_京都芸術センター・アート×ビジネス推進事業	第二インキュ	16:52:00	0:00:00	16:52:00	0:00:00	0:00:00	0:00:00
P24019_【※4月末まで使用可※】（終了PJ）_淳風bizQ（京都）R6	第四インキュ	35:44:00	0:00:00	0:00:00	0:00:00	35:44:00	0:00:00
P24021_【※4月～使用禁止※】_江戸川区アントレプレナー交流事業　EDONOWA	本部	0:00:00	0:00:00	0:00:00	0:00:00	0:00:00	0:00:00
P24022_【※4月～使用禁止※】_千代田区産業コミュニティ支援事業　千代田CULTURE × TECH	本部	4:00:00	0:00:00	0:00:00	0:00:00	0:00:00	0:00:00
P24023_【※4月～使用禁止※】_京都市コンテンツ制作支援・ＰＲ支援業務	第四インキュ	47:56:00	0:00:00	0:00:00	0:00:00	47:56:00	0:00:00
P24024_【※4月末まで使用可※】（終了PJ）_KYO-CCE Labプロジェクト企画・運営業務	第四インキュ	35:26:00	0:00:00	0:00:00	0:00:00	35:26:00	0:00:00
P24033_【※4月～使用禁止※】_あいち補助金2024	第二インキュ	10:33:00	0:00:00	10:33:00	0:00:00	0:00:00	0:00:00
P24034_【※4月末まで使用可※】（終了PJ）_嘉手納町プログラミング力育成事業(中学生)	第一インキュ	3:52:00	3:52:00	0:00:00	0:00:00	0:00:00	0:00:00
P24037_【※4月末まで使用可※】（終了PJ）_静岡県ピッチイベント業務	第一インキュ	0:15:00	0:15:00	0:00:00	0:00:00	0:00:00	0:00:00
