"メニュー名","プロジェクト集計表"
"集計期間","自 2025年  5月 1日  至 2025年  5月31日"
"法人名","株式会社ツクリエ"
"税処理","税抜"
"集計方法","発生"
"単位","円"

"科目名","合計","本部","J001　StartupSide Kyoto","J002　StartupSide Osaka","J003 StartupSide Tokyo（東京自主インキュ）","J004　支援人材教育","J007　グローバル事業","J008　商品開発事業","J009　お通り男史プロジェクト","J010 SEEDex","J017　おやじキャンプ飯ビジネスプロデュース事業","J023　イノベリア","J028　StartupSide Nagoya","J029 StartupSide Moriya（守谷自主インキュ）","J030 投資_ストーリア","J031　スタートアップバイパス","J037　クリプトアニメラボLLP","J039　ミライクルラボ","J040 EV System","J041　ヨムリエ","J042　起業支援ラボ","J043 Evocare","J044 人材事業","J045 ツクリエビジネスプランコンテスト","J050　起業相談AI開発","J051 StartupSide Magazine","J052 起業支援者教育事業","J053 アニハッチ","J054 StartupSide Tokyo 7F移転プロジェクト","J055 プロデュース委員会","J056 情報システム委員会","J057 周年イベント委員会","J059 StartupSide委員会","J060 社長室","J061 イベント戦略室","J062 ツクリエインド","P24014　Japan Connect Initiative","P24015 ニューギンデジタルコンテンツ開発","P24035 嘉手納町プログラミング力育成事業(小学校)","P24038 愛知県起業家創出促進事業","P25001 Startup Hub Tokyo 丸の内","P25002 六郷BASE","P25003 メグリバ(コワーキング)","P25004 メグリバ(カフェ・ショップ)","P25005 イデタチ東京・ツムギバ","P25006 南相馬市産業創造センター","P25007 TCIC","P25008 嘉手納町マルチメディアセンター","P25009 かわさき新産業創造センター","P25010 東京農工大学西東京国際イノベーション共創拠点 オフィス会員及びパートナー会員のサポート業務","P25011 ものムーブ2025","P25012 K-NIC運営業務","P25013「うべ産業共創イノベーションセンター 志」運営業務","P25014 令和7年度川崎起業家オーディション審査員","P25015 千代田区産業コミュニティ形成支援事業　千代田CULTURE × TECH","P25016 新宿区経営サポート事業","P25017 新川崎地区ネットワーク協議会","P25018 IntoGlobal","P25019 産業情報かわさき","P25020 神奈川県_令和7年度次世代起業家創出事業","P25021 江戸川区アントレプレナー交流事業　EDONOWA","P25022 東京都ベンチャー技術大賞","P25023 令和６年度「新事業分野開拓者認定制度(東京都トライアル発注)」","P25024 羽田イノベーションシティイベント企画運営","P25025 JICAジョージアSUエコシステム支援","P25026 JICAセルビアスタートアップ支援","P25028 令和7年度商業者創業支援プログラム事業","P25029 京都市コンテンツ制作支援・ＰＲ支援業務","P25030 プロロジス","P25031 令和7年度_FTC事業化プログラム","P25032 品川区スタートアップ・エコシステム推進事業業務委託","P25033 令和７年度沖縄県立芸術大学キャリア支援事業","P25034 京都府ZET-valleyオフィス 2025","P25035 京都芸術センター・アート×ビジネス推進事業 R7","P25036 あいち補助金2025","P25037 KYO-CCE Labプロジェクト企画・運営業務","P25038 早暁プログラム運営支援","P25039 埼玉県学生向け起業伴走プログラム","P25040 愛知県起業家創出促進事業　Aichi Startup Battle","P25041 嘉手納町プログラミング力育成事業(小学校)","P25042 嘉手納町プログラミング力育成事業(中学生)","P25043 世界に羽ばたくアニメーター等育成支援事業運営業務委託"
"売上高",131748261,1751567,427658,2312203,2167950,0,0,406705,0,0,0,0,3024436,674330,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,10454546,909091,0,0,25699667,11740681,4475735,630833,2695250,581081,8973624,3024361,7537459,1363637,3300000,3842804,2628789,0,2152456,2757728,1046927,3867014,30000,1071400,1085666,3741467,2858838,454000,587645,400000,529075,227265,1162764,3130000,1461075,658788,120000,0,1895996,1074350,400000,0,873400,0,0,1390000
"純売上高",131748261,1751567,427658,2312203,2167950,0,0,406705,0,0,0,0,3024436,674330,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,10454546,909091,0,0,25699667,11740681,4475735,630833,2695250,581081,8973624,3024361,7537459,1363637,3300000,3842804,2628789,0,2152456,2757728,1046927,3867014,30000,1071400,1085666,3741467,2858838,454000,587645,400000,529075,227265,1162764,3130000,1461075,658788,120000,0,1895996,1074350,400000,0,873400,0,0,1390000
"当期製品製造原価",83003511,0,763353,2807196,3854369,63150,105425,165261,10950,1361905,7324,293703,3441180,1452488,4891,161,28358,42829,20590,158513,68158,59045,1065681,32165,10389,112368,106823,-222667,317012,80445,83254,179524,414420,1217416,133229,27843,3419240,0,-120372,4567,10765998,5691878,2599885,1076777,1455012,316176,10324362,3770400,1530296,798412,1009329,3591377,851640,57462,1810727,606303,885179,751801,5152,673149,255584,3010000,965173,2038,37742,521242,125370,136126,819111,1333968,422163,536404,2348873,86038,1176254,577992,145978,279648,72862,6084,3360,0
"売上原価",83003511,0,763353,2807196,3854369,63150,105425,165261,10950,1361905,7324,293703,3441180,1452488,4891,161,28358,42829,20590,158513,68158,59045,1065681,32165,10389,112368,106823,-222667,317012,80445,83254,179524,414420,1217416,133229,27843,3419240,0,-120372,4567,10765998,5691878,2599885,1076777,1455012,316176,10324362,3770400,1530296,798412,1009329,3591377,851640,57462,1810727,606303,885179,751801,5152,673149,255584,3010000,965173,2038,37742,521242,125370,136126,819111,1333968,422163,536404,2348873,86038,1176254,577992,145978,279648,72862,6084,3360,0
"売上総利益",48744750,1751567,-335695,-494993,-1686419,-63150,-105425,241444,-10950,-1361905,-7324,-293703,-416744,-778158,-4891,-161,-28358,-42829,-20590,-158513,-68158,-59045,-915681,-32165,-10389,-112368,-106823,222667,-317012,-80445,-83254,-179524,-414420,-1217416,-133229,-27843,7035306,909091,120372,-4567,14933669,6048803,1875850,-445944,1240238,264905,-1350738,-746039,6007163,565225,2290671,251427,1777149,-57462,341729,2151425,161748,3115213,24848,398251,830082,731467,1893665,451962,549903,-121242,403705,91139,343653,1796032,1038912,122384,-2228873,-86038,719742,496358,254022,-279648,800538,-6084,-3360,1390000
"広告宣伝費",85364,85364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"役員報酬",2473400,2473400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"給料手当",14230349,14230349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"雑給",510004,510004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"法定福利費",2380677,2380677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"福利厚生費",200869,200869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"採用費",60000,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"地代家賃",3923950,3923950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"賃借料",40686,40686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
