"メニュー名","プロジェクト集計表"
"集計期間","自 2025年  6月 1日  至 2025年  6月30日"
"法人名","株式会社ツクリエ"
"税処理","税抜"
"集計方法","発生"
"単位","円"

"科目名","合計","本部","J001　StartupSide Kyoto","J002　StartupSide Osaka","J003 StartupSide Tokyo（東京自主インキュ）","J004　支援人材教育","J007　グローバル事業","J008　商品開発事業","J009　お通り男史プロジェクト","J010 SEEDex","J017　おやじキャンプ飯ビジネスプロデュース事業","J023　イノベリア","J028　StartupSide Nagoya","J029 StartupSide Moriya（守谷自主インキュ）","J030 投資_ストーリア","J031　スタートアップバイパス","J037　クリプトアニメラボLLP","J039　ミライクルラボ","J040 EV System","J041　ヨムリエ","J042　起業支援ラボ","J043 Evocare","J044 人材事業","J045 ツクリエビジネスプランコンテスト","J049 ISMS取得","J050　起業相談AI開発","J051 StartupSide Magazine","J052 起業支援者教育事業","J053 アニハッチ","J054 StartupSide Tokyo 7F移転プロジェクト","J055 プロデュース委員会","J056 情報システム委員会","J057 周年イベント委員会","J058 アントレジム","J059 StartupSide委員会","J060 社長室","J061 イベント戦略室","J062 ツクリエインド","J063 スタートアップビザ","P24015 ニューギンデジタルコンテンツ開発","P25001 Startup Hub Tokyo 丸の内","P25002 六郷BASE","P25003 メグリバ(コワーキング)","P25004 メグリバ(カフェ・ショップ)","P25005 イデタチ東京・ツムギバ","P25006 南相馬市産業創造センター","P25007 TCIC","P25008 嘉手納町マルチメディアセンター","P25009 かわさき新産業創造センター","P25010 東京農工大学西東京国際イノベーション共創拠点 オフィス会員及びパートナー会員のサポート業務","P25011 ものムーブ2025","P25012 K-NIC運営業務","P25013「うべ産業共創イノベーションセンター 志」運営業務","P25014 令和7年度川崎起業家オーディション審査員","P25015 千代田区産業コミュニティ形成支援事業　千代田CULTURE × TECH","P25016 新宿区経営サポート事業","P25017 新川崎地区ネットワーク協議会","P25018 IntoGlobal","P25019 産業情報かわさき","P25020 神奈川県_令和7年度次世代起業家創出事業","P25021 江戸川区アントレプレナー交流事業　EDONOWA","P25022 東京都ベンチャー技術大賞","P25023 令和６年度「新事業分野開拓者認定制度(東京都トライアル発注)」","P25024 羽田イノベーションシティイベント企画運営","P25025 JICAジョージアSUエコシステム支援","P25026 JICAセルビアスタートアップ支援","P25028 令和7年度商業者創業支援プログラム事業","P25029 京都市コンテンツ制作支援・ＰＲ支援業務","P25030 プロロジス","P25031 令和7年度_FTC事業化プログラム","P25032 品川区スタートアップ・エコシステム推進事業業務委託","P25033 令和７年度沖縄県立芸術大学キャリア支援事業","P25034 京都府ZET-valleyオフィス 2025","P25035 京都芸術センター・アート×ビジネス推進事業 R7","P25036 あいち補助金2025","P25037 KYO-CCE Labプロジェクト企画・運営業務","P25038 早暁プログラム運営支援","P25039 埼玉県学生向け起業伴走プログラム","P25040 愛知県起業家創出促進事業　Aichi Startup Battle","P25041 嘉手納町プログラミング力育成事業(小学校)","P25042 嘉手納町プログラミング力育成事業(中学生)","P25043 世界に羽ばたくアニメーター等育成支援事業運営業務委託","P25044 横浜市SWITCHプログラム","P25045 チリ・イノベーション運営","P25046 2025年度大阪府テック_シーズ開拓"
"売上高",116028805,749245,470766,2369607,1796641,0,0,163110,0,0,0,0,2779351,580370,0,0,0,0,0,0,0,0,601713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,909091,25699667,11558888,4434670,698964,2695250,303819,9008316,3023351,5000678,1363637,3300000,3793138,2628789,0,2118182,2757728,265151,3867014,0,1071400,1085666,3741467,-880799,0,1039317,400000,529075,227265,1360757,3130000,1461075,658788,38001,0,1895996,1074350,400000,1045455,873400,734819,515637,1390000,0,1300000,0
"純売上高",116028805,749245,470766,2369607,1796641,0,0,163110,0,0,0,0,2779351,580370,0,0,0,0,0,0,0,0,601713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,909091,25699667,11558888,4434670,698964,2695250,303819,9008316,3023351,5000678,1363637,3300000,3793138,2628789,0,2118182,2757728,265151,3867014,0,1071400,1085666,3741467,-880799,0,1039317,400000,529075,227265,1360757,3130000,1461075,658788,38001,0,1895996,1074350,400000,1045455,873400,734819,515637,1390000,0,1300000,0
"当期製品製造原価",74105048,0,839001,3001122,3773601,26538,105657,45892,75960,1361034,58694,206407,3328319,1321919,3548,161,25334,160909,27643,194535,78459,36796,1004858,49497,150303,14274,108646,389842,106692,134855,74214,62234,45034,21676,374663,1033940,305900,30638,40753,0,11208133,5991098,2490853,1088486,1449772,158680,4594205,2534100,1750611,706266,1012121,3063708,1242953,26591,811650,1079125,5227,998391,3327,764571,327275,834468,2090202,152778,500459,26078,106673,101130,1097348,586380,654514,545295,2272649,122932,1858715,735293,136340,627152,418216,464649,55007,140396,320281,216958,114444
"売上原価",74105048,0,839001,3001122,3773601,26538,105657,45892,75960,1361034,58694,206407,3328319,1321919,3548,161,25334,160909,27643,194535,78459,36796,1004858,49497,150303,14274,108646,389842,106692,134855,74214,62234,45034,21676,374663,1033940,305900,30638,40753,0,11208133,5991098,2490853,1088486,1449772,158680,4594205,2534100,1750611,706266,1012121,3063708,1242953,26591,811650,1079125,5227,998391,3327,764571,327275,834468,2090202,152778,500459,26078,106673,101130,1097348,586380,654514,545295,2272649,122932,1858715,735293,136340,627152,418216,464649,55007,140396,320281,216958,114444
"売上総利益",41923757,749245,-368235,-631515,-1976960,-26538,-105657,117218,-75960,-1361034,-58694,-206407,-548968,-741549,-3548,-161,-25334,-160909,-27643,-194535,-78459,-36796,-403145,-49497,-150303,-14274,-108646,-389842,-106692,-134855,-74214,-62234,-45034,-21676,-374663,-1033940,-305900,-30638,-40753,909091,14491534,5567790,1943817,-389522,1245478,145139,4414111,489251,3250067,657371,2287879,729430,1385836,-26591,1306532,1678603,259924,2868623,-3327,306829,758391,2906999,-2971001,-152778,538858,373922,422402,126135,263409,2543620,806561,113493,-2234648,-122932,37281,339057,263660,418303,455184,270170,460630,1249604,-320281,1083042,-114444
"広告宣伝費",85364,85364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"役員報酬",2473400,2473400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"給料手当",13169611,13169611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"雑給",523862,523862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"法定福利費",1986805,1986805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
